"Wavelength, µm","n","k"
1.624,2.084718,0
1.626,2.084697,0
1.628,2.084676,0
1.63,2.084655,0
1.632,2.084634,0
1.634,2.084614,0
1.636,2.084593,0
1.638,2.084573,0
1.64,2.084552,0
1.642,2.084532,0
1.644,2.084512,0
1.646,2.084492,0
1.648,2.084471,0
1.65,2.084451,0
1.652,2.084431,0
1.654,2.084412,0
1.656,2.084392,0
1.658,2.084372,0
1.66,2.084352,0
1.662,2.084333,0
1.664,2.084313,0
1.666,2.084294,0
1.668,2.084274,0
1.67,2.084255,0
1.672,2.084236,0
1.674,2.084217,0
1.676,2.084197,0
1.678,2.084178,0
1.68,2.084159,0
1.682,2.08414,0
1.684,2.084122,0
1.686,2.084103,0
1.688,2.084084,0
1.69,2.084066,0
1.692,2.084047,0
1.694,2.084028,0
1.696,2.08401,0
1.698,2.083992,0
1.7,2.083973,0
1.702,2.083955,0
1.704,2.083937,0
1.706,2.083919,0
1.708,2.083901,0
1.71,2.083883,0
1.712,2.083865,0
1.714,2.083847,0
1.716,2.083829,0
1.718,2.083812,0
1.72,2.083794,0
1.722,2.083776,0
1.724,2.083759,0
1.726,2.083741,0
1.728,2.083724,0
1.73,2.083707,0
1.732,2.083689,0
1.734,2.083672,0
1.736,2.083655,0
1.738,2.083638,0
1.74,2.083621,0
1.742,2.083604,0
1.744,2.083587,0
1.746,2.08357,0
1.748,2.083553,0
1.75,2.083536,0
1.752,2.08352,0
1.754,2.083503,0
1.756,2.083486,0
1.758,2.08347,0
1.76,2.083453,0
1.762,2.083437,0
1.764,2.083421,0
1.766,2.083404,0
1.768,2.083388,0
1.77,2.083372,0
1.772,2.083356,0
1.774,2.08334,0
1.776,2.083324,0
1.778,2.083308,0
1.78,2.083292,0
1.782,2.083276,0
1.784,2.08326,0
1.786,2.083244,0
1.788,2.083229,0
1.79,2.083213,0
1.792,2.083198,0
1.794,2.083182,0
1.796,2.083167,0
1.798,2.083151,0
1.8,2.083136,0
